Console,GameName,Review,Score
PS2,.hack infection part 1 Review,Good,7
PS2,Pride FC Review,Great,8
PC,Battlefield 1942: The Road to Rome Review,Great,8
PC,NASCAR Racing 2003 Season Review,Great,8
PS2,Black & Bruised Review,Fair,6
PS2,Guilty Gear X2 Review,Great,8
PC,The Mystery of the Mummy Review,Mediocre,5
PC,Unreal II: The Awakening Review,Good,7
PS2,Devil May Cry 2 Review,Fair,6
PC,KAO the Kangaroo Review,Good,7
XBOX,Battle Engine Aquila Review,Fair,6
PC,Highland Warriors Review,Mediocre,5
PS2,Battle Engine Aquila Review,Fair,6
PS2,Cabela's Big Game Hunter Review,Mediocre,5
XBOX,Dead or Alive Xtreme Beach Volleyball Review,Fair,6
PS2,Drome Racers Review,Mediocre,5
PS2,The Getaway Review,Fair,6
PC,Drome Racers Review,Mediocre,5
PC,Test Drive Review,Fair,6
PC,K-Hawk: Survival Instinct Review,Mediocre,5
PS2,Disney's PK: Out of the Shadows Review,Bad,3
PS2,War of the Monsters Review,Good,7
PS2,Tom Clancy's Ghost Recon Review,Mediocre,5
XBOX,BMX XXX Review,Mediocre,5
XBOX,ATV Quad Power Racing 2 Review,Fair,6
PS2,ATV Quad Power Racing 2 Review,Fair,6
PS2,The Sims Review,Good,7
XBOX,Panzer Dragoon Orta Review,Superb,9
PS2,Hot Wheels Velocity X Maximum Justice Review,Good,7
PS2,Pro Race Driver Review,Good,7
XBOX,Nightcaster II: Equinox Review,Abysmal,1
PC,Shadowflare: Episode One Review,Poor,4
XBOX,Pulse Racer Review,Bad,3
PC,Impossible Creatures Review,Good,7
PC,Zanzarah: The Hidden Portal Review,Good,7
XBOX,"The Lord of the Rings, The Two Towers Review",Great,8
PS2,NCAA Final Four 2003 Review,Mediocre,5
XBOX,Total Immersion Racing Review,Good,7
PS2,Total Immersion Racing Review,Good,7
PC,The Sims Online review,Fair,6
XBOX,Harry Potter and the Chamber of Secrets Review,Good,7
XBOX,Crimson Sea Review,Good,7
XBOX,Dark Angel Review,Bad,3
PS2,Dark Angel Review,Bad,3
PC,Europa 1400: The Guild Review,Great,8
PC,Dark Age of Camelot: Shrouded Isles Review,Great,8
PS2,NCAA March Madness 2003 Review,Good,7
PS2,Treasure Planet Review,Fair,6
PS2,Whiteout Review,Poor,4
PS2,Evolution Snowboarding Review,Fair,6
PC,Anarchy Online: The Notum Wars Review,Fair,6
XBOX,NCAA College Basketball 2K3 Review,Good,7
PC,Neocron Review,Fair,6
PS2,Street Hoops Review,Poor,4
PC,Worms Blast Review,Good,7
PC,Street Legal Review,Poor,4
PS2,Haven: Call of the King Review,Good,7
PS2,Harry Potter and the Chamber of Secrets Review,Good,7
XBOX,Egg Mania: Eggstreme Madness Review,Fair,6
XBOX,Minority Report: Everybody Runs Review,Poor,4
PS2,Minority Report: Everybody Runs Review,Poor,4
PC,Treasure Planet: Battle at Procyon Review,Good,7
PS2,Star Wars: The Clone Wars Review,Good,7
XBOX,Legends of Wrestling II Review,Fair,6
PS2,Legends of Wrestling II Review,Fair,6
XBOX,Rally Fusion Review,Fair,6
PS2,Rally Fusion Review,Fair,6
PC,James Bond 007: NightFire Review,Fair,6
PC,Hegemonia: Legions of Iron Review,Good,7
PC,Total Immersion Racing Review,Good,7
PC,Cossacks: Back to War Review,Fair,6
PC,Asheron's Call 2: Fallen Kings Review,Great,8
PS2,Dragon Ball Z Budokai Review,Fair,6
PC,Silent Hill 2 Review,Fair,6
XBOX,MX Superfly Review,Good,7
PC,Platoon: 1st Airborne Cavalry Division Review,Fair,6
PS2,Mystic Heroes Review,Good,7
PS2,Ninja Assault Review,Mediocre,5
PS2,Star Wars Bounty Hunter Review,Mediocre,5
XBOX,Dragon's Lair 3D: Return to the Lair Review,Mediocre,5
PC,Dragon's Lair 3D: Return to the Lair Review,Mediocre,5
PC,NBA Live 2003 Review,Great,8
PC,Hearts of Iron Review,Good,7
PC,World War II: Panzer Claws Review,Fair,6
XBOX,Superman: The Man of Steel Review,Fair,6
PS2,The Simpsons Skateboarding Review,Bad,3
PS2,Marvel vs. Capcom 2 Review,Good,7
PS2,Rygar: The Legendary Adventure Review,Good,7
PC,Starfleet Command III Review,Great,8
XBOX,James Bond 007: NightFire Review,Good,7
PS2,James Bond 007: NightFire Review,Good,7
PC,Arx Fatalis Review,Great,8
XBOX,Steel Battalion Review,Good,7
PS2,Dr. Muto Review,Fair,6
XBOX,Dr. Muto Review,Fair,6
PC,Revolution Review,Terrible,2
PS2,Shox Review,Good,7
PS2,ATV Offroad Fury 2 Review,Good,7
